"Package","Version","License","Priority","Action"
"testthat","3.3.2","MIT + file LICENSE","","keep"
"textshaping","1.0.4","MIT + file LICENSE","","keep"
"tibble","3.3.1","MIT + file LICENSE","","keep"
"tidyr","1.3.2","MIT + file LICENSE","","keep"
"tidyselect","1.2.1","MIT + file LICENSE","","keep"
"timeDate","4052.112","GPL (>= 2)","","keep"
"tinytex","0.58","MIT + file LICENSE","","keep"
"TMB","1.9.25","GPL-2","","keep"
"tools","4.5.3","Part of R 4.5.3","base","keep"
"TOSTER","0.8.6","GPL-3","","keep"
"translations","4.5.3","Part of R 4.5.3","","keep"
"TruncatedNormal","2.3","GPL-3","","keep"
"tzdb","0.5.0","MIT + file LICENSE","","keep"
"ucminf","1.2.3","GPL (>= 2)","","keep"
"urca","1.3-4","GPL (>= 2)","","keep"
"utf8","1.2.6","Apache License (== 2.0) | file LICENSE","","keep"
"utils","4.5.3","Part of R 4.5.3","base","keep"
"uuid","1.2-2","MIT + file LICENSE","","keep"
"V8","8.0.1","MIT + file LICENSE","","keep"
"vctrs","0.7.1","MIT + file LICENSE","","keep"
"VGAM","1.1-14","GPL-3","","keep"
"viridisLite","0.4.3","MIT + file LICENSE","","keep"
"visNetwork","2.1.4","MIT + file LICENSE","","keep"
"vroom","1.7.0","MIT + file LICENSE","","keep"
"waldo","0.6.2","MIT + file LICENSE","","keep"
"WebPower","0.9.4","GPL (>= 3)","","keep"
"withr","3.0.2","MIT + file LICENSE","","keep"
"xfun","0.56","MIT + file LICENSE","","keep"
"xml2","1.5.2","MIT + file LICENSE","","keep"
"xtable","1.8-8","GPL (>= 2)","","keep"
"yaml","2.3.12","BSD_3_clause + file LICENSE","","keep"
"zip","2.3.3","MIT + file LICENSE","","keep"
"zoo","1.8-15","GPL-2 | GPL-3","","keep"
