"Component","Scope","Package","Version","License","Risk","URL","LicenseFiles","Notes"
"R package: httpuv","Bundled dependency","httpuv","1.6.17","GPL (>= 2) | file LICENSE","GPL","https://rstudio.github.io/httpuv/,
https://github.com/rstudio/httpuv","R-httpuv-1.6.17-LICENSE",""
"R package: igraph","Bundled dependency","igraph","2.3.3","GPL (>= 2)","GPL","https://r.igraph.org/, https://igraph.org/,
https://igraph.discourse.group/","",""
"R package: jmvcore","Bundled dependency","jmvcore","2.7.7","GPL (>= 2)","GPL","https://www.jamovi.org","",""
"R package: jomo","Bundled dependency","jomo","2.7-6","GPL-2","GPL","https://cran.r-project.org/package=jomo","",""
"R package: knitr","Bundled dependency","knitr","1.51","GPL","GPL","https://yihui.org/knitr/","",""
"R package: lazyeval","Bundled dependency","lazyeval","0.2.3","GPL-3","GPL","https://cran.r-project.org/package=lazyeval","",""
"R package: matrixcalc","Bundled dependency","matrixcalc","1.0-6","GPL (>= 2)","GPL","https://cran.r-project.org/package=matrixcalc","",""
"R package: MatrixModels","Bundled dependency","MatrixModels","0.5-4","GPL (>= 2)","GPL","https://Matrix.R-forge.R-project.org/,
https://r-forge.r-project.org/R/?group_id=61","",""
"R package: maxLik","Bundled dependency","maxLik","1.5-2.2","GPL (>= 2)","GPL","https://cran.r-project.org/package=maxLik","",""
"R package: mime","Bundled dependency","mime","0.13","GPL","GPL","https://github.com/yihui/mime","",""
"R package: minqa","Bundled dependency","minqa","1.2.8","GPL-2","GPL","http://optimizer.r-forge.r-project.org","",""
"R package: miscTools","Bundled dependency","miscTools","0.6-30","GPL (>= 2)","GPL","https://github.com/arne-henningsen/miscTools","",""
"R package: mitml","Bundled dependency","mitml","0.4-5","GPL (>= 2)","GPL","https://cran.r-project.org/package=mitml","",""
"R package: mitools","Bundled dependency","mitools","2.4","GPL-2","GPL","https://cran.r-project.org/package=mitools","",""
"R package: mnormt","Bundled dependency","mnormt","2.1.2","GPL-2 | GPL-3","GPL","http://azzalini.stat.unipd.it/SW/Pkg-mnormt/","",""
"R package: modelr","Bundled dependency","modelr","0.1.11","GPL-3","GPL","https://modelr.tidyverse.org, https://github.com/tidyverse/modelr","",""
"R package: mpoly","Bundled dependency","mpoly","1.1.2","GPL-2","GPL","https://github.com/dkahle/mpoly","",""
"R package: multipol","Bundled dependency","multipol","1.0-9","GPL","GPL","https://cran.r-project.org/package=multipol","",""
"R package: mvtnorm","Bundled dependency","mvtnorm","1.3-3","GPL-2","GPL","http://mvtnorm.R-forge.R-project.org","",""
"R package: nleqslv","Bundled dependency","nleqslv","3.3.7","GPL (>= 2)","GPL","https://bertcarnell.github.io/nleqslv/,
https://github.com/bertcarnell/nleqslv/","",""
"R package: numDeriv","Bundled dependency","numDeriv","2016.8-1.1","GPL-2","GPL","http://optimizer.r-forge.r-project.org/","",""
"R package: orthopolynom","Bundled dependency","orthopolynom","1.0-6.1","GPL (>= 2)","GPL","https://cran.r-project.org/package=orthopolynom","",""
"R package: pan","Bundled dependency","pan","1.9","GPL-3","GPL","https://cran.r-project.org/package=pan","",""
"R package: partitions","Bundled dependency","partitions","1.10-9","GPL","GPL","https://github.com/RobinHankin/partitions","",""
"R package: pbivnorm","Bundled dependency","pbivnorm","0.6.0","GPL (>= 2)","GPL","https://github.com/brentonk/pbivnorm","",""
"R package: pbkrtest","Bundled dependency","pbkrtest","0.5.5","GPL (>= 2)","GPL","https://people.math.aau.dk/~sorenh/software/pbkrtest/","",""
"R package: PearsonDS","Bundled dependency","PearsonDS","1.3.2","GPL (>= 2)","GPL","https://cran.r-project.org/package=PearsonDS","",""
"R package: polynom","Bundled dependency","polynom","1.4-1","GPL-2","GPL","https://cran.r-project.org/package=polynom","",""
"R package: qrng","Bundled dependency","qrng","0.0-11","GPL-2 | GPL-3","GPL","https://cran.r-project.org/package=qrng","",""
"R package: quadprog","Bundled dependency","quadprog","1.5-8","GPL (>= 2)","GPL","https://cran.r-project.org/package=quadprog","",""
"R package: quantreg","Bundled dependency","quantreg","6.1","GPL (>= 2)","GPL","https://www.r-project.org","",""
"R package: rbibutils","Bundled dependency","rbibutils","2.4.1","GPL-2","GPL","https://geobosh.github.io/rbibutils/ (doc),
https://CRAN.R-project.org/package=rbibutils","",""
"R package: Rcpp","Bundled dependency","Rcpp","1.1.1","GPL (>= 2)","GPL","https://www.rcpp.org,
https://dirk.eddelbuettel.com/code/rcpp.html,
https://github.com/RcppCore/Rcpp","",""
"R package: RcppArmadillo","Bundled dependency","RcppArmadillo","15.2.4-1","GPL (>= 2)","GPL","https://github.com/RcppCore/RcppArmadillo,
https://dirk.eddelbuettel.com/code/rcpp.armadillo.html","",""
"R package: RcppEigen","Bundled dependency","RcppEigen","0.3.4.0.2","GPL (>= 2) | file LICENSE","GPL","https://github.com/RcppCore/RcppEigen,
https://dirk.eddelbuettel.com/code/rcpp.eigen.html","R-RcppEigen-0.3.4.0.2-LICENSE",""
"R package: Rdpack","Bundled dependency","Rdpack","2.6.6","GPL (>= 2)","GPL","https://geobosh.github.io/Rdpack/ (doc),
https://CRAN.R-project.org/package=Rdpack","",""
"R package: reformulas","Bundled dependency","reformulas","0.4.4","GPL-3","GPL","https://github.com/bbolker/reformulas","",""
"R package: rmarkdown","Bundled dependency","rmarkdown","2.30","GPL-3","GPL","https://github.com/rstudio/rmarkdown,
https://pkgs.rstudio.com/rmarkdown/","R-rmarkdown-2.30-COPYING; R-rmarkdown-2.30-NOTICE",""
"R package: sets","Bundled dependency","sets","1.0-25","GPL-2","GPL","https://cran.r-project.org/package=sets","",""
"R package: shape","Bundled dependency","shape","1.4.6.1","GPL (>= 3)","GPL","https://cran.r-project.org/package=shape","",""
